"DefaultValue","CustomValue"
"Users Access Rights Restriction","Users Access Rights Restriction"
"Using Sample Data right now.","Using Sample Data right now."
"V. Order #","V. Order #"
"Value","Value"
"Value cannot be zero","Value cannot be zero"
"Vendor","Vendor"
"VENDOR","VENDOR"
"Vendor Address","Vendor Address"
"Vendor Info","Vendor Info"
"Vendor Information","Vendor Information"
"Vendor Item Code","Vendor Item Code"
"Vendor List","Vendor List"
"Vendor Listing","Vendor Listing"
"Vendor Order #","Vendor Order #"
"Vendor Order Number","Vendor Order Number"
